Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 2, nFeatures = 7000

feature |          frame
        |                   0                   1
--------+-----------------------------------------
    294 | (923.0,974.0)= 1057 ( -1.0, -1.0)=   -5 
    295 | (969.0,522.0)= 1055 (963.3,521.6)=    0 
    296 | (383.0,826.0)= 1044 ( -1.0, -1.0)=   -5 
    297 | (473.0,289.0)= 1043 (475.2,311.0)=    0 
    298 | (983.0, 74.0)= 1043 ( -1.0, -1.0)=   -3 
    299 | (687.0,812.0)= 1038 (691.8,832.6)=    0 
    300 | (522.0,493.0)= 1037 (521.4,493.9)=    0 
    301 | (892.0,806.0)= 1037 ( -1.0, -1.0)=   -3 
    302 | (861.0,132.0)= 1034 ( -1.0, -1.0)=   -3 
    303 | (966.0,810.0)= 1029 (964.5,811.7)=    0 
    304 | (144.0,738.0)= 1026 (164.9,748.3)=    0 
    305 | (115.0,621.0)= 1026 ( -1.0, -1.0)=   -5 
    306 | (752.0,736.0)= 1023 (757.6,746.7)=    0 
    307 | ( 99.0,722.0)= 1019 ( -1.0, -1.0)=   -3 
    308 | (399.0,384.0)= 1017 ( -1.0, -1.0)=   -3 
    309 | (847.0,307.0)= 1015 ( -1.0, -1.0)=   -5 
    310 | ( 85.0,226.0)= 1014 ( 84.6,216.4)=    0 
    311 | (337.0,986.0)= 1013 ( -1.0, -1.0)=   -5 
    312 | (642.0,512.0)= 1012 (637.8,513.6)=    0 
    313 | (292.0,995.0)= 1012 ( -1.0, -1.0)=   -3 
    314 | (822.0,838.0)= 1005 ( -1.0, -1.0)=   -5 
    315 | (396.0,629.0)= 1004 ( -1.0, -1.0)=   -5 
    316 | (798.0,997.0)= 1004 (793.1,992.3)=    0 
    317 | (728.0,867.0)= 1003 (713.7,878.3)=    0 
    318 | (555.0,815.0)= 1003 ( -1.0, -1.0)=   -5 
    319 | (759.0,830.0)= 1001 ( -1.0, -1.0)=   -5 
    320 | (728.0,960.0)= 1001 (729.6,962.6)=    0 
    321 | (264.0, 43.0)= 1001 (261.5, 50.6)=    0 
    322 | (676.0,613.0)= 1001 ( -1.0, -1.0)=   -5 
    323 | (599.0,878.0)= 1000 ( -1.0, -1.0)=   -5 
    324 | (822.0,980.0)=  997 (818.2,981.7)=    0 
    325 | (792.0,245.0)=  996 ( -1.0, -1.0)=   -5 
    326 | (116.0,636.0)=  996 (124.1,646.1)=    0 
    327 | (1000.0, 63.0)=  995 ( -1.0, -1.0)=   -3 
    328 | (608.0,615.0)=  994 (603.8,619.9)=    0 
    329 | (862.0,226.0)=  991 ( -1.0, -1.0)=   -3 
    330 | (303.0,394.0)=  990 (299.2,403.3)=    0 
    331 | (434.0,712.0)=  990 ( -1.0, -1.0)=   -5 
    332 | (889.0,600.0)=  990 ( -1.0, -1.0)=   -5 
    333 | (476.0,683.0)=  989 ( -1.0, -1.0)=   -5 
    334 | (113.0,255.0)=  987 ( -1.0, -1.0)=   -3 
    335 | (743.0,599.0)=  983 ( -1.0, -1.0)=   -3 
    336 | (660.0,133.0)=  975 (655.7,128.4)=    0 
    337 | (762.0,821.0)=  975 ( -1.0, -1.0)=   -5 
    338 | (546.0,383.0)=  974 (561.1,387.3)=    0 
    339 | (829.0,632.0)=  974 ( -1.0, -1.0)=   -5 
    340 | (485.0,560.0)=  972 (475.6,558.0)=    0 
    341 | (209.0,711.0)=  967 ( -1.0, -1.0)=   -5 
    342 | (538.0,394.0)=  966 ( -1.0, -1.0)=   -5 
    343 | (715.0,431.0)=  965 (724.4,451.6)=    0 
    344 | (354.0,388.0)=  963 ( -1.0, -1.0)=   -5 
    345 | (286.0,579.0)=  961 ( -1.0, -1.0)=   -3 
    346 | ( 96.0,448.0)=  961 ( 88.9,459.8)=    0 
    347 | (343.0,590.0)=  959 ( -1.0, -1.0)=   -3 
    348 | (462.0,608.0)=  958 (463.4,591.1)=    0 
    349 | (682.0,120.0)=  956 ( -1.0, -1.0)=   -3 
    350 | (624.0,357.0)=  954 ( -1.0, -1.0)=   -5 
    351 | (238.0,842.0)=  952 (206.5,826.7)=    0 
    352 | (975.0,817.0)=  950 ( -1.0, -1.0)=   -5 
    353 | (982.0, 79.0)=  949 ( -1.0, -1.0)=   -3 
    354 | (823.0,737.0)=  943 ( -1.0, -1.0)=   -5 
    355 | (320.0,104.0)=  939 (320.0,104.3)=    0 
    356 | (967.0,263.0)=  938 ( -1.0, -1.0)=   -3 
    357 | (950.0,927.0)=  937 (942.6,919.4)=    0 
    358 | (549.0,814.0)=  936 ( -1.0, -1.0)=   -3 
    359 | (692.0,429.0)=  936 ( -1.0, -1.0)=   -3 
    360 | (753.0,966.0)=  935 (750.5,966.6)=    0 
    361 | (529.0,664.0)=  935 (511.0,645.8)=    0 
    362 | (579.0,247.0)=  934 ( -1.0, -1.0)=   -5 
    363 | (601.0,292.0)=  932 ( -1.0, -1.0)=   -5 
    364 | (270.0,598.0)=  928 ( -1.0, -1.0)=   -5 
    365 | (389.0,721.0)=  927 ( -1.0, -1.0)=   -5 
    366 | (944.0,575.0)=  927 ( -1.0, -1.0)=   -5 
    367 | (856.0,968.0)=  926 (859.4,962.5)=    0 
    368 | (880.0,998.0)=  924 ( -1.0, -1.0)=   -3 
    369 | (839.0,980.0)=  924 (835.7,975.9)=    0 
    370 | (280.0,221.0)=  922 (280.4,228.3)=    0 
    371 | (678.0,458.0)=  922 ( -1.0, -1.0)=   -5 
    372 | (254.0,166.0)=  921 ( -1.0, -1.0)=   -3 
